,,,insample,outOfSample,PnL,PPN
BTC,0.0002,2022-08-20,0.04600847371553063,0.08211725804228853,417.17357201590863,0.0001390385229395487
BTC,0.0002,2022-08-21,0.0480201776184882,0.0011490276408085975,317.0480364469119,0.00010096051818880939
BTC,0.0002,2022-08-22,0.04738449324882399,0.09217469940350886,420.9354820903011,0.00015139271781426007
BTC,0.0005,2022-08-08,0.0,0.0,0.0,
BTC,0.0005,2022-08-09,0.0,0.0,0.0,
BTC,0.0005,2022-08-10,0.0,0.0,0.0,
BTC,0.0005,2022-08-11,0.0,0.0,0.0,
BTC,0.0005,2022-08-12,0.0,0.0,0.0,
BTC,0.0005,2022-08-13,0.0,0.0,0.0,
BTC,0.0005,2022-08-14,0.0,0.0,0.0,
BTC,0.0005,2022-08-15,0.0,0.0,0.0,
BTC,0.0005,2022-08-16,0.0,0.0,0.0,
BTC,0.0005,2022-08-17,0.0,0.0,0.0,
BTC,0.0005,2022-08-18,0.0,0.0,0.0,
BTC,0.0005,2022-08-19,0.0,0.0,0.0,
BTC,0.0005,2022-08-20,0.0,0.0,0.0,
BTC,0.0005,2022-08-21,0.0,0.0,0.0,
BTC,0.0005,2022-08-22,0.0,0.0,0.0,
BTC,0.001,2022-08-08,0.0,0.0,0.0,
BTC,0.001,2022-08-09,0.0,0.0,0.0,
BTC,0.001,2022-08-10,0.0,0.0,0.0,
BTC,0.001,2022-08-11,0.0,0.0,0.0,
BTC,0.001,2022-08-12,0.0,0.0,0.0,
BTC,0.001,2022-08-13,0.0,0.0,0.0,
BTC,0.001,2022-08-14,0.0,0.0,0.0,
BTC,0.001,2022-08-15,0.0,0.0,0.0,
BTC,0.001,2022-08-16,0.0,0.0,0.0,
BTC,0.001,2022-08-17,0.0,0.0,0.0,
BTC,0.001,2022-08-18,0.0,0.0,0.0,
BTC,0.001,2022-08-19,0.0,0.0,0.0,
BTC,0.001,2022-08-20,0.0,0.0,0.0,
BTC,0.001,2022-08-21,0.0,0.0,0.0,
BTC,0.001,2022-08-22,0.0,0.0,0.0,
ETH,0.0,2022-08-08,0.05944994134441528,0.06310766815513724,699.4897321126148,0.00023310889161215595
ETH,0.0,2022-08-09,0.0605254904981537,0.10061556359073687,55.60894315997822,1.8535970798077233e-05
ETH,0.0,2022-08-10,0.05846893010098664,0.06831628550380975,985.2772728603986,0.00028800979630226337
